model,hidden_size,pooling,epochs,optimizer,accuracy
RNN,16,max,5,SGD,0.5010204081632653
RNN,16,max,5,RMSprop,0.5438775510204081
RNN,16,max,5,Adam,0.5479591836734694
RNN,16,max,50,SGD,0.5153061224489796
RNN,16,max,50,RMSprop,0.5520408163265306
RNN,16,max,50,Adam,0.5489795918367347
RNN,16,max,100,SGD,0.5193877551020408
RNN,16,max,100,RMSprop,0.5612244897959183
RNN,16,max,100,Adam,0.5561224489795918
RNN,16,max,250,SGD,0.523469387755102
RNN,16,max,250,RMSprop,0.5663265306122449
RNN,16,max,250,Adam,0.5510204081632653
RNN,16,max,350,SGD,0.5193877551020408
RNN,16,max,350,RMSprop,0.5469387755102041
RNN,16,max,350,Adam,0.5561224489795918
RNN,16,avg,5,SGD,0.5040816326530613
RNN,16,avg,5,RMSprop,0.5377551020408163
RNN,16,avg,5,Adam,0.5387755102040817
RNN,16,avg,50,SGD,0.5183673469387755
RNN,16,avg,50,RMSprop,0.5489795918367347
RNN,16,avg,50,Adam,0.5653061224489796
RNN,16,avg,100,SGD,0.5224489795918368
RNN,16,avg,100,RMSprop,0.5571428571428572
RNN,16,avg,100,Adam,0.5510204081632653
RNN,16,avg,250,SGD,0.5193877551020408
RNN,16,avg,250,RMSprop,0.5571428571428572
RNN,16,avg,250,Adam,0.5540816326530612
RNN,16,avg,350,SGD,0.5244897959183673
RNN,16,avg,350,RMSprop,0.5551020408163265
RNN,16,avg,350,Adam,0.5612244897959183
RNN,32,max,5,SGD,0.4857142857142857
RNN,32,max,5,RMSprop,0.5336734693877551
RNN,32,max,5,Adam,0.5316326530612245
RNN,32,max,50,SGD,0.5183673469387755
RNN,32,max,50,RMSprop,0.5561224489795918
RNN,32,max,50,Adam,0.5622448979591836
RNN,32,max,100,SGD,0.5163265306122449
RNN,32,max,100,RMSprop,0.5724489795918367
RNN,32,max,100,Adam,0.5663265306122449
RNN,32,max,250,SGD,0.5142857142857142
RNN,32,max,250,RMSprop,0.5561224489795918
RNN,32,max,250,Adam,0.5561224489795918
RNN,32,max,350,SGD,0.5142857142857142
RNN,32,max,350,RMSprop,0.5642857142857143
RNN,32,max,350,Adam,0.5612244897959183
RNN,32,avg,5,SGD,0.4887755102040816
RNN,32,avg,5,RMSprop,0.5336734693877551
RNN,32,avg,5,Adam,0.5418367346938775
RNN,32,avg,50,SGD,0.5163265306122449
RNN,32,avg,50,RMSprop,0.5510204081632653
RNN,32,avg,50,Adam,0.560204081632653
RNN,32,avg,100,SGD,0.523469387755102
RNN,32,avg,100,RMSprop,0.5663265306122449
RNN,32,avg,100,Adam,0.5469387755102041
RNN,32,avg,250,SGD,0.5112244897959184
RNN,32,avg,250,RMSprop,0.563265306122449
RNN,32,avg,250,Adam,0.5581632653061225
RNN,32,avg,350,SGD,0.5183673469387755
RNN,32,avg,350,RMSprop,0.5459183673469388
RNN,32,avg,350,Adam,0.5561224489795918
RNN,64,max,5,SGD,0.49489795918367346
RNN,64,max,5,RMSprop,0.5204081632653061
RNN,64,max,5,Adam,0.5459183673469388
RNN,64,max,50,SGD,0.5163265306122449
RNN,64,max,50,RMSprop,0.539795918367347
RNN,64,max,50,Adam,0.5520408163265306
RNN,64,max,100,SGD,0.5193877551020408
RNN,64,max,100,RMSprop,0.5469387755102041
RNN,64,max,100,Adam,0.5469387755102041
RNN,64,max,250,SGD,0.5214285714285715
RNN,64,max,250,RMSprop,0.5459183673469388
RNN,64,max,250,Adam,0.5581632653061225
RNN,64,max,350,SGD,0.523469387755102
RNN,64,max,350,RMSprop,0.5316326530612245
RNN,64,max,350,Adam,0.5510204081632653
RNN,64,avg,5,SGD,0.5071428571428571
RNN,64,avg,5,RMSprop,0.5438775510204081
RNN,64,avg,5,Adam,0.5244897959183673
RNN,64,avg,50,SGD,0.5204081632653061
RNN,64,avg,50,RMSprop,0.5469387755102041
RNN,64,avg,50,Adam,0.5612244897959183
RNN,64,avg,100,SGD,0.5183673469387755
RNN,64,avg,100,RMSprop,0.5561224489795918
RNN,64,avg,100,Adam,0.5591836734693878
RNN,64,avg,250,SGD,0.5193877551020408
RNN,64,avg,250,RMSprop,0.5479591836734694
RNN,64,avg,250,Adam,0.5561224489795918
RNN,64,avg,350,SGD,0.5214285714285715
RNN,64,avg,350,RMSprop,0.5540816326530612
RNN,64,avg,350,Adam,0.5530612244897959
DeepRNN,16,max,5,SGD,0.4857142857142857
DeepRNN,16,max,5,RMSprop,0.5336734693877551
DeepRNN,16,max,5,Adam,0.5479591836734694
DeepRNN,16,max,50,SGD,0.5204081632653061
DeepRNN,16,max,50,RMSprop,0.560204081632653
DeepRNN,16,max,50,Adam,0.560204081632653
DeepRNN,16,max,100,SGD,0.503061224489796
DeepRNN,16,max,100,RMSprop,0.5591836734693878
DeepRNN,16,max,100,Adam,0.5591836734693878
DeepRNN,16,max,250,SGD,0.5183673469387755
DeepRNN,16,max,250,RMSprop,0.5561224489795918
DeepRNN,16,max,250,Adam,0.5469387755102041
DeepRNN,16,max,350,SGD,0.4857142857142857
DeepRNN,16,max,350,RMSprop,0.5520408163265306
DeepRNN,16,max,350,Adam,0.5551020408163265
DeepRNN,16,avg,5,SGD,0.44081632653061226
DeepRNN,16,avg,5,RMSprop,0.5438775510204081
DeepRNN,16,avg,5,Adam,0.5428571428571428
DeepRNN,16,avg,50,SGD,0.4887755102040816
DeepRNN,16,avg,50,RMSprop,0.5561224489795918
DeepRNN,16,avg,50,Adam,0.5591836734693878
