Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 10, Batch Size: 512, Test Loss: 2.2779
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 16, Test Loss: 1.0070
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 32, Test Loss: 1.2067
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 64, Test Loss: 0.8198
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 128, Test Loss: 0.8237
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 256, Test Loss: 0.8339
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 1, Batch Size: 512, Test Loss: 0.8014
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 16, Test Loss: 0.7457
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 32, Test Loss: 0.7333
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 64, Test Loss: 0.6852
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 128, Test Loss: 0.6787
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 256, Test Loss: 0.6839
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.1, Batch Size: 512, Test Loss: 0.6666
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 16, Test Loss: 0.6390
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 32, Test Loss: 0.6532
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 64, Test Loss: 0.6476
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 128, Test Loss: 0.6614
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 256, Test Loss: 0.6852
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.01, Batch Size: 512, Test Loss: 0.6709
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 16, Test Loss: 0.6783
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 32, Test Loss: 0.7171
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 64, Test Loss: 0.6620
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 128, Test Loss: 0.6919
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 256, Test Loss: 0.7072
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.001, Batch Size: 512, Test Loss: 0.7230
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 16, Test Loss: 0.7414
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 32, Test Loss: 0.7365
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 64, Test Loss: 0.7366
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 128, Test Loss: 0.7664
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 256, Test Loss: 0.9283
Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 0.0001, Batch Size: 512, Test Loss: 0.9293
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 16, Test Loss: 124.6229
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 32, Test Loss: 4419.1788
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 64, Test Loss: 1625.7388
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 128, Test Loss: 953.0215
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 256, Test Loss: 750630.2969
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 10, Batch Size: 512, Test Loss: 2799.6228
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 16, Test Loss: 1.0256
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 32, Test Loss: 1.0142
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 64, Test Loss: 0.9885
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 128, Test Loss: 1.0001
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 256, Test Loss: 2.1984
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 1, Batch Size: 512, Test Loss: 1.4366
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 16, Test Loss: 0.7298
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 32, Test Loss: 0.8217
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 64, Test Loss: 0.7065
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 128, Test Loss: 0.7287
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 256, Test Loss: 0.7201
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.1, Batch Size: 512, Test Loss: 0.8070
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 16, Test Loss: 0.7387
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 32, Test Loss: 0.7435
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 64, Test Loss: 0.6971
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 128, Test Loss: 0.8696
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 256, Test Loss: 0.8367
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.01, Batch Size: 512, Test Loss: 1.0033
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 16, Test Loss: 0.9094
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 32, Test Loss: 0.9399
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 64, Test Loss: 0.9878
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 128, Test Loss: 1.0126
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 256, Test Loss: 0.9974
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.001, Batch Size: 512, Test Loss: 1.0331
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 16, Test Loss: 1.0169
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 32, Test Loss: 0.9471
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 64, Test Loss: 1.0307
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 128, Test Loss: 1.0150
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 256, Test Loss: 1.0792
Hidden Layers: [4, 8], Activation: relu, Epochs: 1, LR: 0.0001, Batch Size: 512, Test Loss: 1.1452
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 16, Test Loss: 0.9938
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 32, Test Loss: 0.9986
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 64, Test Loss: 0.9885
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 128, Test Loss: 8.0321
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 256, Test Loss: 356.4734
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 10, Batch Size: 512, Test Loss: 420583.6269
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 16, Test Loss: 1.0074
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 32, Test Loss: 0.9985
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 64, Test Loss: 1.1142
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 128, Test Loss: 1.0053
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 256, Test Loss: 0.9402
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 1, Batch Size: 512, Test Loss: 1.0005
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 16, Test Loss: 0.8317
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 32, Test Loss: 0.7414
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 64, Test Loss: 0.7192
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 128, Test Loss: 0.7095
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 256, Test Loss: 0.7221
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.1, Batch Size: 512, Test Loss: 0.6644
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 16, Test Loss: 0.6823
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 32, Test Loss: 0.7072
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 64, Test Loss: 0.7040
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 128, Test Loss: 0.6751
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 256, Test Loss: 0.6840
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.01, Batch Size: 512, Test Loss: 0.7332
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 16, Test Loss: 0.6811
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 32, Test Loss: 0.7344
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 64, Test Loss: 0.7319
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 128, Test Loss: 0.7452
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 256, Test Loss: 0.8012
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.001, Batch Size: 512, Test Loss: 0.9110
